year,ceremony,category,nominee,film,winner,source_url
1952,1952,Website - Feature Film,Richard Thorpe,Ivanhoe,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Charles Vidor,Hans Christian Andersen,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Website - Feature Film,Fred Zinnemann,High Noon,0,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1952,1952,Special awards,5th Annual Directors Guild of America Awards,,1,https://en.wikipedia.org/wiki/5th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Melvin Frank and Norman Panama,Above and Beyond,1,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Henry Koster,The Robe,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Walter Lang,Call Me Madam,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Joseph L. Mankiewicz,Julius Caesar,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Daniel Mann,"Come Back, Little Sheba",0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Jean Negulesco,Titanic,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,George Sidney,Young Bess,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,George Stevens,Shane,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Charles Walters,Lili,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
1953,1953,Website - Feature Film,Billy Wilder,Stalag 17,0,https://en.wikipedia.org/wiki/6th_Directors_Guild_of_America_Awards
