year,film,person,is_winner,raw_text,source_url
,1984,Bae Chang-ho,False,4 | 1984 | Bae Chang-ho | Whale Hunting | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1985,Jung Jin-woo,False,5 | 1985 | Jung Jin-woo | Adultery Tree | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1986,Im Kwon-taek,False,6 | 1986 | Im Kwon-taek | Gilsoddeum | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1987,Im Kwon-taek,False,7 | 1987 | Im Kwon-taek | Ticket | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1988,Song Yeong-su,False,"8 | 1988 | Song Yeong-su | Now, We're Going to Geneva | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1989,Kim Ho-sun,False,9 | 1989 | Kim Ho-sun | Rainbow Over Seoul | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1990,Lee Doo-yong,False,10 | 1990 | Lee Doo-yong | Road to Cheongsong Prison | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1991,Park Kwang-su,False,11 | 1991 | Park Kwang-su | Black Republic | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1992,Jang Sun-woo,False,12 | 1992 | Jang Sun-woo | Road to the Racetrack | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1993,Im Kwon-taek,False,13 | 1993 | Im Kwon-taek | Sopyonje | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1994,Jang Sun-woo,False,14 | 1994 | Jang Sun-woo | Hwa-Om-Kyung | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1995,Yu Hyun-mok,False,"15 | 1995 | Yu Hyun-mok | Mommy, Star, and Sea Anemone | ",https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1996,Park Chul-soo,False,16 | 1996 | Park Chul-soo | Farewell My Darling | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1997,N/a,False,17 | 1997 | — N/a,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1998,Hur Jin-ho,False,18 | 1998 | Hur Jin-ho | Christmas in August | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,1999,Lee Kwang-mo,False,19 | 1999 | Lee Kwang-mo | Spring in My Hometown | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2000,Lee Chang-dong,False,20 | 2000 | Lee Chang-dong | Peppermint Candy | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2001,Yim Soon-rye,False,21 | 2001 | Yim Soon-rye | Waikiki Brothers | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2002,Park Chan-wook,False,22 | 2002 | Park Chan-wook | Sympathy for Mr. Vengeance | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
,2003,Bong Joon-ho,False,23 | 2003 | Bong Joon-ho | Memories of Murder | ,https://en.wikipedia.org/wiki/Korean_Association_of_Film_Critics_Awards
