year,film,person,is_winner,raw_text,source_url
2014,"Like Father, Like Son The Ravine of Goodbye Sue, Mai & Sawa: Righting the Girl Ship",Yōko Maki,False,"2014 | Like Father, Like Son The Ravine of Goodbye Sue, Mai & Sawa: Righting the Girl Ship | Yōko Maki",https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2015,100 Yen Love 0.5 mm,Sakura Ando,False,2015 | 100 Yen Love 0.5 mm | Sakura Ando,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2016,Journey to the Shore Parasyte: Part 2,Eri Fukatsu,False,2016 | Journey to the Shore Parasyte: Part 2 | Eri Fukatsu,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2017,Her Love Boils Bathwater,Rie Miyazawa,False,2017 | Her Love Boils Bathwater | Rie Miyazawa,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2018,Birds Without Names,Yū Aoi,False,2018 | Birds Without Names | Yū Aoi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2019,Shoplifters,Sakura Ando,False,2019 | Shoplifters | Sakura Ando,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2020,It Feels So Good,Kumi Takiuchi,False,2020 | It Feels So Good | Kumi Takiuchi,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2021,A Beloved Wife Runway,Asami Mizukawa,False,2021 | A Beloved Wife Runway | Asami Mizukawa,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2022,A Madder Red,Machiko Ono,False,2022 | A Madder Red | Machiko Ono,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2023,"Small, Slow But Steady and others",Yukino Kishii,False,"2023 | Small, Slow But Steady and others | Yukino Kishii",https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2024,Shadow of Fire,Shuri,False,2024 | Shadow of Fire | Shuri,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2025,Desert of Namibia A Girl Named Ann,Yuumi Kawai,False,2025 | Desert of Namibia A Girl Named Ann | Yuumi Kawai,https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
2026,"Two Seasons, Two Strangers",Shim Eun-kyung,False,"2026 | Two Seasons, Two Strangers | Shim Eun-kyung",https://en.wikipedia.org/wiki/Kinema_Junpo_Award_for_Best_Actress
