year,ceremony,category,nominee,film,won
2017,Crystal Simorgh Awards,Best Feature,Pouran Derakhshandeh,Under the Smokey Roof,0
2018,Crystal Simorgh Awards,Best Movie,Saeid Malekan,The Lost Strait,1
2018,Crystal Simorgh Awards,Best Feature,Mohammad Khazaee,Damascus Time,0
2018,Crystal Simorgh Awards,Best Title,Payman Maadi and Ehsan Rasoulof,Bomb: A Love Story,0
2018,Crystal Simorgh Awards,Best Title,Mahmoud Razavi,Axing,0
2018,Crystal Simorgh Awards,Best Motion picture,Hamed Hosseini,Under Water Cypress,0
2018,Crystal Simorgh Awards,Best Feature,Kambuzia Partovi,Truck,0
2018,Crystal Simorgh Awards,Best Title,Saeed Sa'di,Sheeple,0
2019,Crystal Simorgh Awards,Best Title,Mohammad-Hossein Ghasemi,When the Moon Was Full,1
2019,Crystal Simorgh Awards,Best Movie,Mahmoud Razavi,Midday Adventures: Trace of Blood,0
2019,Crystal Simorgh Awards,Best Movie,Majid Motalebi,The Warden,0
2019,Crystal Simorgh Awards,Best Motion picture,Saeid Malekan,Gholamreza Takhti,0
2019,Crystal Simorgh Awards,Best Motion picture,Jamal Sadatian,Just 6.5,0
2019,Crystal Simorgh Awards,Best Movie,Reza Mirkarimi,Castle of Dreams,0
2020,Crystal Simorgh Awards,Best Movie,Majid Majidi and Amir Banan,The Sun,1
2020,Crystal Simorgh Awards,Best Feature,Rasul Sadr Ameli,Butterfly Stroke,0
2020,Crystal Simorgh Awards,Best Movie,Mostafa Ahmadi,Walnut Tree,0
2020,Crystal Simorgh Awards,Best Movie,Saeid Malekan,Day Zero,0
2020,Crystal Simorgh Awards,Best Movie,Niki Karimi,Atabai,0
2021,Crystal Simorgh Awards,Best Motion picture,Mohammad Reza Mesbah,Yadoo,1
2021,Crystal Simorgh Awards,Best Movie,Mohammadhossein Ghasemi,Pinto,0
2021,Crystal Simorgh Awards,Best Movie,Javad Norouzbeigi,Without Everything,0
2021,Crystal Simorgh Awards,Best Title,Roohollah Baradari and Samira Baradari,Zalava,0
