year,ceremony,category,nominee,film,won
2007,BAFICI Awards,Best Motion picture,,"In Between Days, by So Yong‑Kim",1
2007,BAFICI Awards,Best Helmer,Hugo Vieira da Silva,Body Rice,1
2007,BAFICI Awards,Best Actor,Arturo Goetz,El asaltante,1
2007,BAFICI Awards,Best Actress,Jiseon Kim,In Between Days,1
2007,BAFICI Awards,Special Jury Accolade,,"Estrellas, by Federico León & Marcos Martínez",1
2007,BAFICI Awards,Best Argentinian Movie,,"UPA! Una película argentina , by Santiago Giralt, Camila Toker & Tamae Garateguy",1
2006,BAFICI Awards,Best Motion picture,Juan Carlos Rulfo,En el hoyo,1
2006,BAFICI Awards,Special Jury Honor,Valeska Grisebach,Sehnsucht,1
2006,BAFICI Awards,Best Argentinian Feature,Alexis Dos Santos,Glue,1
2005,BAFICI Awards,Best Motion picture,Mercedes Álvarez,El cielo gira,1
2005,BAFICI Awards,Best Helmer,Ilya Khrzhanovsky,4,1
2005,BAFICI Awards,Best Actor,Mohammad Bakri,Private,1
2005,BAFICI Awards,Best Actress,Eva Löbau,Der wald vor lauter Bäumen,1
2005,BAFICI Awards,Special jury Honor,Abdellatif Kechiche,L'Esquive,1
2005,BAFICI Awards,Special Mention,Cheol-Mean Wang  and Monobloc,Frakchi,1
2005,BAFICI Awards,Best Argentinian Title,Ezequiel Acuña,Como un avión estrellado,1
2005,BAFICI Awards,Audience Accolade for Foreign Feature,,El Cielo Gira  by Mercedes Álvarez,1
2005,BAFICI Awards,Audience Prize for National Title,José Luis García,Cándido López - Los campos de batalla,1
2004,BAFICI Awards,Best Motion picture,Ana Poliak,Parapalos,1
2004,BAFICI Awards,Best Filmmaker,Royston Tan,15,1
2004,BAFICI Awards,Best Actor,Pietro Sibille,Días de Santiago,1
2004,BAFICI Awards,Best Actress,Hwang Jeong-min,Jigureul jikyeora!,1
2004,BAFICI Awards,Special Jury Laurel,Jaime Rosales,Las horas del día,1
2004,BAFICI Awards,Special Mention,,Not awarded,1
2004,BAFICI Awards,Audience Prize for Foreign Motion picture,Byambasuren Davaa and Luigi Falorni,The Story of the Weeping Camel,1
2004,BAFICI Awards,Audience Prize for National Motion picture,Enrique Piñeyro,Whisky Romeo Zulu,1
2003,BAFICI Awards,Best Title,Abderrahmane Sissako,Heremakono,1
2003,BAFICI Awards,Best Director,Apichatpong Weerasethakul,Sud sanaeha,1
2003,BAFICI Awards,Best Actor,Alejandro Ferretis,Japón,1
2003,BAFICI Awards,Best Actress,Séverine Caneele,Une part du ciel,1
2003,BAFICI Awards,Special Jury Accolade,Celina Murga,Ana y los otros,1
2003,BAFICI Awards,Special Mention,Albertina Carri,Los rubios,1
2003,BAFICI Awards,Audience Accolade,Albertina Carri,Los rubios,1
2002,BAFICI Awards,Best Title,Vincenzo Marra,Tornando a casa,1
2002,BAFICI Awards,Best Director,Michael Gilio,Kwik Stop,1
2002,BAFICI Awards,Best Actor,Lennie Burmeister,Bungalow,1
2002,BAFICI Awards,Best Actress,Ronit Elkabetz,Hatuna Meuheret,1
2002,BAFICI Awards,Special Jury Honor,Diego Lerman,Tan de repente,1
2002,BAFICI Awards,Special Mention,Luiz Fernando Carvalho,Lavoura Arcaica,1
2002,BAFICI Awards,Audience Laurel,Diego Lerman  and Lavoura Arcaica,Tan de repente,1
2001,BAFICI Awards,Best Movie,Jia Zhangke,Zhantai,1
2001,BAFICI Awards,Best Filmmaker,Nuri Bilge Ceylan,Mayis sikintisi,1
2001,BAFICI Awards,Best Actor,"Daniel Hendler, Jorge Temponi and Alfonso Tort for 25 watts",,1
2001,BAFICI Awards,Best Actress,Yuko Nakamura,Hotaru,1
2001,BAFICI Awards,Special Jury Accolade,John Gianvito,The Mad Songs of Fernanda Hussein,1
2001,BAFICI Awards,Special Mention,Samira Makhmalbaf,Takhté siah,1
2001,BAFICI Awards,Audience Honor,,Jigsaw Venus by Dean Kapsalis,1
2000,BAFICI Awards,Best Title,Laurent Cantet,Ressources humaines,1
2000,BAFICI Awards,Best Helmer,Noémie Lvovsky,La vie ne me fait pas peur,1
2000,BAFICI Awards,Best Script,Sasa Gedeon,Návrat idiota,1
2000,BAFICI Awards,Best Actor,Ewen Bremner,Julien Donkey-Boy,1
2000,BAFICI Awards,Best Actress,Anna Geislerová and Tatiana Vilhelmová,Návrat idiota,1
2000,BAFICI Awards,Special Mention,Enrique Piñeyro (For his acting performance),Esperando al Mesías,1
2000,BAFICI Awards,Audience Laurel,,Ressources humaines by Laurent Cantet,1
1999,BAFICI Awards,Best Feature,Koreeda Hirokazu,After Life,1
1999,BAFICI Awards,Best Helmer,Pablo Trapero,Mundo Grúa,1
1999,BAFICI Awards,Best Script,Koreeda Hirokazu,After Life,1
1999,BAFICI Awards,Best Actor,Luis Margani,Mundo Grúa,1
1999,BAFICI Awards,Best Actress,Monic Hendrickx,De poolse bruid,1
1999,BAFICI Awards,Audience Laurel,Samira Makhmalbaf,Sib,1
