year,ceremony,category,nominee,film,won
2002,Grande Prêmio do Cinema Brasileiro,Best Helmer,Fernando Meirelles e Nando Olival,Domésticas - O Filme,1
2002,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Luiz Fernando Carvalho,Lavoura Arcaica,1
2002,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Miguel Faria Jr.,O Xangô de Baker Street,1
2003,Grande Prêmio do Cinema Brasileiro,Best Director,Fernando Meirelles,Cidade de Deus,1
2003,Grande Prêmio do Cinema Brasileiro,Best Director,Beto Brant,O Invasor,1
2003,Grande Prêmio do Cinema Brasileiro,Best Director,Eduardo Coutinho,Edifício Master,1
2003,Grande Prêmio do Cinema Brasileiro,Best Helmer,João Jardim e Walter Carvalho,Janela da Alma,1
2003,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Karim Aïnouz,Madame Satã,1
2004,Grande Prêmio do Cinema Brasileiro,Best Helmer,Héctor Babenco,Carandiru,1
2004,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Jorge Furtado,O Homem Que Copiava,1
2004,Grande Prêmio do Cinema Brasileiro,Best Director,Cláudio Assis,Amarelo Manga,1
2004,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Guel Arraes,Lisbela e o Prisioneiro,1
2004,Grande Prêmio do Cinema Brasileiro,Best Helmer,João Moreira Salles,Nelson Freire,1
2005,Grande Prêmio do Cinema Brasileiro,Best Director,Cláudio Torres,Redentor,1
2005,Grande Prêmio do Cinema Brasileiro,Best Director,Eduardo Coutinho,Peões,1
2005,Grande Prêmio do Cinema Brasileiro,Best Helmer,Eliane Caffé,Narradores de Javé,1
2005,Grande Prêmio do Cinema Brasileiro,Best Director,João Moreira Salles,Entreatos,1
2005,Grande Prêmio do Cinema Brasileiro,Best Helmer,Roberto Moreira,Contra Todos,1
2007,Grande Prêmio do Cinema Brasileiro,Best Director,Marcelo Gomes,"Cinema, Aspirinas e Urubus",1
2007,Grande Prêmio do Cinema Brasileiro,Best Director,Andrucha Waddington,Casa de Areia,1
2007,Grande Prêmio do Cinema Brasileiro,Best Director,Beto Brant,Crime Delicado,1
2007,Grande Prêmio do Cinema Brasileiro,Best Director,Breno Silveira,2 Filhos de Francisco,1
2007,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Daniel Filho,Se Eu Fosse Você,1
2007,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Lírio Ferreira,Árido Movie,1
2007,Grande Prêmio do Cinema Brasileiro,Best Filmmaker,Miguel Faria Jr.,Vinícius,1
