year,ceremony,category,nominee,film,won
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,"Francisca Gavilán, en Violeta se fue a los cielos","Francisca Gavilán, en Violeta se fue a los cielos",1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Elenco femenino de Tercera llamada,Elenco femenino de Tercera llamada,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Paula Hertzog y Paola Barrientos,Ciencias naturales,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,"Claudia Muñiz, Marianela Pupo y Maribel García Garzón",Venecia,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,"Marleyda Soto, Luisa Vides Galiano y Jocelyn Meneses",Oscuro animal,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Lola Amores,Santa y Andrés,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Sofía Gala Castiglione,Alanis,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Romina Bentancur,Los tiburones & Bárbara Lennie por Petra,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Greta Fernández,La hija de un ladrón,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,María Romanillos,Las consecuencias,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Magnolia Núñez,Carajita,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor actriz,Beatriz Batarda,Great Yarmouth: Provisional Figures,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor interpretación,Maeve Jinkins,Pedágio,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor interpretación,Shirley Cruz,La mejor madre del mundo,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Sebastián Cordero,Crónicas,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Rodrigo Moreno,El custodio,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Carlos Contreras,Párpados azules,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Icíar Bollaín y Tatiana Rodríguez,Mataharis,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Chus Gutiérrez y Juan Carlos Rubio,Retorno a Hansala,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Juan Carlos Valdivia,Zona sur,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Héctor Olivera,El mural,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Jaime Osorio,El páramo,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Valentí Figueres,"El efecto k, el montador de Stalin",1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Matías Lucchesi y Gonzálo Salaya,Ciencias naturales,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Celso García for La delgada línea amarilla,Celso García for La delgada línea amarilla,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Marina Seresesky,La puerta abierta,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Carlos Lechuga,Santa y Andrés,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Martín Boulocq,Eugenia,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Lucía Garibaldi,Los tiburones,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Diego y Daniel Vega Vidal,La bronca,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Claudia Huaiquimilla y Pablo Greene,Mis hermanos sueñan despiertos,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Alejandro Loayza Grisi,Utama,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Ricardo Adolfo y Marco Martins,Great Yarmouth: Provisional Figures,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Fernando del Razo y Santiago Lozando Álvares,Yo vi tres luces negras,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor guion,Anna Muylaert,La mejor madre del mundo,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Miguel Joan Littin,La última luna,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Willi Bhenish,Cuatro mujeres descalzas,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Daniel Aranyó,La distancia,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Pedro Farkas,Los desafinados,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Álex Catalán,Camino,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Enrique Chediak,Rabia & Mauro Pinheiro Jr. por Os Famosos E Os Duendes da Morte,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Sergio Armstrong,Post mostem,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Mauro Pinheiro Jr,Sudoeste,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Kiko de la Rica,Blancanieves,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Ivo Lopes Araújo,O Homem das Multidões,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Juan Carlos Gil,¡Que viva la música!,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Fernando Lockett,Oscuro animal,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Daniela Cajías,Las dos Irenes,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Óscar Catacora,Wiñaypacha,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Luis Armando Arteaga,Temblores,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Nicolas Wong,La llorona,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Sergio Armstrong,Inmersión,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Iván Gierasinchuk y Sergio Amstrong,Carajita,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,No otorgado,No otorgado,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Juan Velázquez,Yo vi tres luces negras,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor fotografía,Lílis Soares,La mejor madre del mundo,1
2004,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Sergio Arau,Un día sin mexicanos,1
2005,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Vera Fogwill y Martín Desalvo,Las mantenidas sin sueños,1
2006,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Martín Boulocq,Lo más bonito y mis mejores años,1
2007,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Javier Rebollo,Lo que sé de Lola,1
2008,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,César Charlone y Enrique Fernández,El baño del Papa,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Gerardo Naranjo,Voy a explotar,1
2010,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Florence Jaugey,La Yuma,1
2011,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Sergio Teubal,El Dedo,1
2012,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Eryk Rocha,Transeúnte,1
2013,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Ana Guevara y Leticia Jorge,Tanta agua,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Damian John Harper,Los Ángeles,1
2015,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Sebastián Schindel,El patrón: radiografía de un crimen,1
2016,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Ángel Manuel Soto,La granja,1
2017,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Fabio Meira,Las dos Irenes,1
2018,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Óscar Catacora,Wiñaypacha,1
2019,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Arantxa Echevarría,Carmen y Lola,1
2020,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Luis Alejandro Pérez García,Piola,1
2021,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Nicolás Postiglione,Inmersión,1
2022,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Alejandro Loayza Grisi,Utama,1
2023,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Estibaliz Urresola Solaguren,20.000 especies de abejas,1
2024,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Marcos Díaz-Sosa,Fenómenos naturales,1
2025,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mejor ópera prima,Molt Lluny de Gerard Oms,Molt Lluny de Gerard Oms,1
2014,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mención especial,Tito Molina,Silencio en la tierra de los sueños,1
2009,Guadalajara IFF Awards,Largometraje Iberoamericano de Ficción - Mención especial sonido,"Aquel querido mes de agosto, para Vasco Pimentel","Aquel querido mes de agosto, para Vasco Pimentel",1
