year,ceremony,category,nominee,film,won
2000,Cóndor de Plata,Best Motion picture,Juan José Campanella,"El mismo amor, la misma lluvia",1
2000,Cóndor de Plata,Best Title,Marco Bechis,Garage Olimpo,0
2000,Cóndor de Plata,Best Feature,Pablo Trapero,Mundo grúa,0
2000,Cóndor de Plata,Best Title,Eduardo Calcagno,Yepeto,0
1999,Cóndor de Plata,Best Movie,Bruno Stagnaro y Adrián Caetano,"Pizza, birra, faso",1
1999,Cóndor de Plata,Best Movie,Eduardo Mignogna,El faro,0
1999,Cóndor de Plata,Best Title,Carlos Saura,"Tango, no me dejes nunca",0
1998,Cóndor de Plata,Best Movie,Alejandro Agresti,Buenos Aires viceversa,1
1998,Cóndor de Plata,Best Movie,Marcelo Piñeyro,Cenizas del paraíso,0
1998,Cóndor de Plata,Best Feature,Adolfo Aristarain,Martín (Hache),0
1997,Cóndor de Plata,Best Title,Eduardo Mignogna,Sol de otoño,1
1997,Cóndor de Plata,Best Feature,Eliseo Subiela,Despabílate amor,0
1997,Cóndor de Plata,Best Title,Juan Carlos Desanzo,Eva Perón,0
1996,Cóndor de Plata,Best Movie,Juan Bautista Stagnaro,Casas de fuego,1
1996,Cóndor de Plata,Best Feature,Marcelo Piñeyro,Caballos salvajes,0
1996,Cóndor de Plata,Best Movie,Adolfo Aristarain,La ley de la frontera,0
1995,Cóndor de Plata,Best Feature,Tristán Bauer,Cortázar,1
1994,Cóndor de Plata,Best Feature,Leonardo Favio,"Gatica, el Mono",1
1994,Cóndor de Plata,Best Motion picture,María Luisa Bemberg,De eso no se habla,0
1994,Cóndor de Plata,Best Motion picture,Luis Puenzo,La peste,0
1994,Cóndor de Plata,Best Title,Marcelo Piñeyro,Tango feroz: la leyenda de Tanguito,0
1993,Cóndor de Plata,Best Title,Adolfo Aristarain,Un lugar en el mundo,1
1992,Cóndor de Plata,Best Feature,Tristán Bauer,Después de la tormenta,1
1991,Cóndor de Plata,Best Feature,Eliseo Subiela,Últimas imágenes del naufragio,1
1990,Cóndor de Plata,Best Motion picture,Osvaldo Andéchaga,La ciudad oculta,1
1989,Cóndor de Plata,Best Feature,Miguel Pereira,La deuda interna,0
1988,Cóndor de Plata,Best Feature,Eliseo Subiela,Hombre mirando al sudeste,0
1987,Cóndor de Plata,Best Motion picture,Fernando Solanas,El exilio de Gardel (Tangos),0
