year,ceremony,category,nominee,film,country,winner,source_url
1967,Berlin IFF 1967,Silver Bear Best Actor,Michel Simon,The Two of Us,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1967,Berlin IFF 1967,Silver Bear Best Actress,Edith Evans,The Whisperers,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1967,Berlin IFF 1967,Silver Bear Best Director,Živojin Pavlović,The Rats Woke Up,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1967,Berlin IFF 1967,Silver Bear Grand Jury Prize,France,La Collectionneuse,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1967,Berlin IFF 1967,Silver Bear Grand Jury Prize,West Germany,Alle Jahre Wieder,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1968,Berlin IFF 1968,Golden Bear,,Who Saw Him Die?,,1,https://en.wikipedia.org/wiki/Golden_Bear
1968,Berlin IFF 1968,Silver Bear Best Actor,Jean-Louis Trintignant,The Man Who Lies,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1968,Berlin IFF 1968,Silver Bear Best Actress,Stéphane Audran,Les Biches,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1968,Berlin IFF 1968,Silver Bear Best Director,Carlos Saura,Peppermint Frappé,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Director
1968,Berlin IFF 1968,Silver Bear Grand Jury Prize,Dušan Makavejev,Innocence Unprotected,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1968,Berlin IFF 1968,Silver Bear Grand Jury Prize,Italy,Come l'Amore,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1968,Berlin IFF 1968,Silver Bear Grand Jury Prize,West Germany,Lebenszeichen,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1969,Berlin IFF 1969,Golden Bear,,Early Works,,1,https://en.wikipedia.org/wiki/Golden_Bear
1971,Berlin IFF 1971,Golden Bear,Il giardino dei Finzi Contini,The Garden of the Finzi-Continis,,1,https://en.wikipedia.org/wiki/Golden_Bear
1971,Berlin IFF 1971,Silver Bear Best Actor,Jean Gabin,Le Chat,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1971,Berlin IFF 1971,Silver Bear Best Actress,Clémence Bouin,Le Chat,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1971,Berlin IFF 1971,Silver Bear Best Actress,Shirley MacLaine,Desperate Characters,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
1971,Berlin IFF 1971,Silver Bear Grand Jury Prize,Il Decameron,The Decameron,,1,https://en.wikipedia.org/wiki/Silver_Bear_Grand_Jury_Prize
1972,Berlin IFF 1972,Golden Bear,I racconti di Canterbury,The Canterbury Tales,,1,https://en.wikipedia.org/wiki/Golden_Bear
1972,Berlin IFF 1972,Silver Bear Best Actor,Alberto Sordi,In Prison Awaiting Trial,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actor
1972,Berlin IFF 1972,Silver Bear Best Actress,Elizabeth Taylor,Hammersmith Is Out,,1,https://en.wikipedia.org/wiki/Silver_Bear_for_Best_Actress
