year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
1970,1971,17,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Arun Prasad Saxena / Suraj Prasad Saxena,False
1970,1971,17,Best Actor,ACTOR IN A LEADING ROLE,Dilip Roy,Ittefaq,False
1971,1972,18,Best Actor,ACTOR IN A LEADING ROLE,,Rajesh Khanna ‡,False
1971,1972,18,Best Actor,ACTOR IN A LEADING ROLE,Dilip Kumar,Gopiram a.k.a. Gopi,False
1971,1972,18,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Vijay Kamal Singh,False
1972,1973,19,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna ‡,Anand Saigal,True
1972,1973,19,Best Actor,ACTOR IN A LEADING ROLE,Dharmendra,Ajit,False
1972,1973,19,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Kamal Sinha,False
1973,1974,20,Best Actor,ACTOR IN A LEADING ROLE,,Manoj Kumar ‡,False
1973,1974,20,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Anand Babu,False
1973,1974,20,Best Actor,ACTOR IN A LEADING ROLE,Surjit Singh,Dushman,False
1974,1975,21,Best Actor,ACTOR IN A LEADING ROLE,,Rishi Kapoor ‡,False
1974,1975,21,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Inspector Vijay Khanna,False
1974,1975,21,Best Actor,ACTOR IN A LEADING ROLE,Dharmendra,Shankar,False
1974,1975,21,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Sunil Kohli,False
1974,1975,21,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Hari Charan Mathur,False
1975,1976,22,Best Actor,ACTOR IN A LEADING ROLE,,Rajesh Khanna ‡,False
1975,1976,22,Best Actor,ACTOR IN A LEADING ROLE,Dharmendra,Ajit Singh,False
1975,1976,22,Best Actor,ACTOR IN A LEADING ROLE,Dilip Kumar,Sagina,False
1975,1976,22,Best Actor,ACTOR IN A LEADING ROLE,Manoj Kumar,Bharat,False
1975,1976,22,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Chhote Kunwar Karan U. Singh,False
1976,1977,23,Best Actor,ACTOR IN A LEADING ROLE,,Sanjeev Kumar ‡,False
1976,1977,23,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vijay Verma,False
1976,1977,23,Best Actor,ACTOR IN A LEADING ROLE,Manoj Kumar,Ram Rai,False
1976,1977,23,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Thakur Baldev Singh,False
1976,1977,23,Best Actor,ACTOR IN A LEADING ROLE,Uttam Kumar,Madhusudan Roy Chaudhary,False
1977,1978,24,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar ‡,Arjun Pandit,True
1977,1978,24,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Amitabh Malhotra,False
1977,1978,24,Best Actor,ACTOR IN A LEADING ROLE,Amol Palekar,Arun Pradeep,False
1977,1978,24,Best Actor,ACTOR IN A LEADING ROLE,Dilip Kumar,Kailash / Bholenath,False
1977,1978,24,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Dr. Amarnath Gill,False
1978,1979,25,Best Actor,ACTOR IN A LEADING ROLE,,Amitabh Bachchan ‡,False
1978,1979,25,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Thakur Dharam Chand / Raju,False
1978,1979,25,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Anand Narayan,False
1978,1979,25,Best Actor,ACTOR IN A LEADING ROLE,Raghu Shukla,Zindagi,False
1978,1979,25,Best Actor,ACTOR IN A LEADING ROLE,Vinod Khanna,Vinod Joshi,False
1979,1980,26,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan ‡,Don / Vijay,True
1979,1980,26,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Sikandar,False
1979,1980,26,Best Actor,ACTOR IN A LEADING ROLE,Vijay Kumar,Trishul,False
1979,1980,26,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Tony/Tarun Kumar Gupta,False
1979,1980,26,Best Actor,ACTOR IN A LEADING ROLE,Ranjeet Chaddha,Pati Patni Aur Woh,False
1980,1981,27,Best Actor,ACTOR IN A LEADING ROLE,,Amol Palekar ‡,False
1980,1981,27,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vijay Pal Singh,False
1980,1981,27,Best Actor,ACTOR IN A LEADING ROLE,Mr. Natwarlal,Mr. Natwarlal,False
1980,1981,27,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Raja / Sonu,False
1980,1981,27,Best Actor,ACTOR IN A LEADING ROLE,Rishi Kapoor,Raju,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,,Naseeruddin Shah ‡,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Vijay Varma,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,Shatrughan Sinha,Ravi Kapoor,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,Raj Babbar,Ramesh R. Gupta,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Arun Kumar Choudhary,False
1981,1982,28,Best Actor,ACTOR IN A LEADING ROLE,Vinod Khanna,Amar,False
1982,1983,29,Best Actor,ACTOR IN A LEADING ROLE,Naseeruddin Shah ‡,Lukka,True
1982,1983,29,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Heera,False
1982,1983,29,Best Actor,ACTOR IN A LEADING ROLE,Amit Malhotra,Silsila,False
1982,1983,29,Best Actor,ACTOR IN A LEADING ROLE,Kamal Haasan,"S ""Vasu"" Vasudevan",False
1982,1983,29,Best Actor,ACTOR IN A LEADING ROLE,Rajesh Khanna,Deepak Srivastav / Vikas,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,,Dilip Kumar ‡,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Amitabh Bachchan,Dr. Sudhir Roy / Adhir Roy,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Arjun Singh,Namak Halaal,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Vijay Kumar,Shakti,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Naseeruddin Shah,Salim,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Rishi Kapoor,Devdhar a.k.a. Dev,False
1983,1984,30,Best Actor,ACTOR IN A LEADING ROLE,Sanjeev Kumar,Ashok R. Tilak,False
