year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2009,2010,6,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai Bachchan ‡","Jodhaa Akbar",False
2009,2010,6,"Best Actress","ACTRESS IN A LEADING ROLE","Bipasha Basu",Race,False
2009,2010,6,"Best Actress","ACTRESS IN A LEADING ROLE","Genelia D'Souza","Jaane Tu... Ya Jaane Na",False
2009,2010,6,"Best Actress","ACTRESS IN A LEADING ROLE","Soha Ali Khan","Khoya Khoya Chand",False
2010,2011,7,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡",Kaminey,False
2010,2011,7,"Best Actress","ACTRESS IN A LEADING ROLE","Asin ‡",Ghajini,False
2010,2011,7,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡","Love Aaj Kal",False
2010,2011,7,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡",Kurbaan,False
2010,2011,7,"Best Actress","ACTRESS IN A LEADING ROLE","Konkona Sen Sharma","Wake Up Sid",False
2011,2012,8,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma ‡","Band Baaja Baaraat",False
2011,2012,8,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan ‡",Ishqiya,False
2011,2012,8,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai Bachchan ‡",Guzaarish,False
2011,2012,8,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †","My Name Is Khan",False
2011,2012,8,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡","Golmaal 3",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †","The Dirty Picture",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut","Tanu Weds Manu",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Katrina Kaif ‡","Mere Brother Ki Dulhan",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Mahie Gill ‡","Saheb, Biwi Aur Gangster",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡","7 Khoon Maaf",False
2012,2013,9,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji † won Filmfare Award for Best Supporting Actress","No One Killed Jessica",False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Vidya Balan †",Kahaani,False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡",Cocktail,False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Kareena Kapoor ‡",Heroine,False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Parineeti Chopra ‡",Ishaqzaade,False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡",Barfi!,False
2013,2014,10,"Best Actress","ACTRESS IN A LEADING ROLE","Sridevi ‡","English Vinglish",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡","Chennai Express",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone †","Goliyon Ki Raasleela Ram-Leela",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone","Yeh Jawaani Hai Deewani",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Nimrat Kaur","The Lunchbox",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Parineeti Chopra ‡","Shuddh Desi Romance",False
2014,2015,11,"Best Actress","ACTRESS IN A LEADING ROLE","Sonakshi Sinha ‡",Lootera,False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra ‡","Mary Kom",False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt","2 States",False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Alia Bhatt ‡",Highway,False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma",PK,False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone","Happy New Year",False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut †",Queen,False
2015,2016,12,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡",Mardaani,False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone †",Piku,False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Anushka Sharma ‡",NH10,False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Deepika Padukone ‡","Bajirao Mastani",False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Kangana Ranaut ‡","Tanu Weds Manu Returns",False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra † won Filmfare Award for Best Supporting Actress","Bajirao Mastani",False
2016,2017,13,"Best Actress","ACTRESS IN A LEADING ROLE","Priyanka Chopra","Dil Dhadakne Do",False
