year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2008,2009,15,"Best Actor","ACTOR IN A LEADING ROLE","Shah Rukh Khan","Chak De India",False
2009,2010,16,"Best Actor","ACTOR IN A LEADING ROLE","Hrithik Roshan","Jodhaa Akbar",False
2010,2011,17,"Best Actor","ACTOR IN A LEADING ROLE","Amitabh Bachchan",Paa,False
2011,2012,18,"Best Actor","ACTOR IN A LEADING ROLE","Salman Khan",Dabangg,False
2012,2013,19,"Best Actor","ACTOR IN A LEADING ROLE","Ranbir Kapoor",Rockstar,False
2013,2014,20,"Best Actor","ACTOR IN A LEADING ROLE","• Irrfan Khan • Ranbir Kapoor","• Paan Singh Tomar • Barfi!",False
2014,2015,21,"Best Actor","ACTOR IN A LEADING ROLE","Farhan Akhtar","Bhaag Milkha Bhaag",False
2015,2016,22,"Best Actor","ACTOR IN A LEADING ROLE","Shahid Kapoor",Haider,False
2016,2017,23,"Best Actor","ACTOR IN A LEADING ROLE","• Amitabh Bachchan • Ranveer Singh","• Piku • Bajirao Mastani",False
2017,2018,24,"Best Actor","ACTOR IN A LEADING ROLE","Amitabh Bachchan",Pink,False
2018,2019,25,"Best Actor","ACTOR IN A LEADING ROLE","Irrfan Khan","Hindi Medium",False
2019,2020,26,"Best Actor","ACTOR IN A LEADING ROLE","• Rajkummar Rao • Ranveer Singh","• Stree • Padmaavat",False
2020,2021,27,"Best Actor","ACTOR IN A LEADING ROLE","Ranveer Singh","Gully Boy",False
2026,2027,33,"Best Actor","ACTOR IN A LEADING ROLE",Dhurandhar,"Hamza Ali Mazari/Jaskirat Singh Rangi",False
1995,1996,2,"Best Actress","ACTRESS IN A LEADING ROLE","Madhuri Dixit †","Hum Aapke Hain Koun...!",False
1995,1996,2,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol ‡","Yeh Dillagi",False
1996,1997,3,"Best Actress","ACTRESS IN A LEADING ROLE","Madhuri Dixit",Raja,False
1996,1997,3,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †","Dilwale Dulhania Le Jayenge",False
1997,1998,4,"Best Actress","ACTRESS IN A LEADING ROLE","Manisha Koirala ‡","Khamoshi: The Musical",False
1997,1998,4,"Best Actress","ACTRESS IN A LEADING ROLE","Juhi Chawla ‡",Daraar,False
1997,1998,4,"Best Actress","ACTRESS IN A LEADING ROLE","Karisma Kapoor †","Raja Hindustani",False
1998,1999,5,"Best Actress","ACTRESS IN A LEADING ROLE","Madhuri Dixit",Mrityudand,False
1998,1999,5,"Best Actress","ACTRESS IN A LEADING ROLE","Juhi Chawla ‡","Yes Boss",False
1998,1999,5,"Best Actress","ACTRESS IN A LEADING ROLE",Rekha,Aastha,False
1998,1999,5,"Best Actress","ACTRESS IN A LEADING ROLE","Sridevi ‡",Judaai,False
1998,1999,5,"Best Actress","ACTRESS IN A LEADING ROLE","Tabu ‡",Virasat,False
1999,2000,6,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol ‡",Dushman,False
1999,2000,6,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †","Kuch Kuch Hota Hai",False
1999,2000,6,"Best Actress","ACTRESS IN A LEADING ROLE","Manisha Koirala ‡","Dil Se..",False
1999,2000,6,"Best Actress","ACTRESS IN A LEADING ROLE","Pooja Bhatt",Zakhm,False
1999,2000,6,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji",Ghulam,False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai †","Hum Dil De Chuke Sanam",False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡",Taal,False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol ‡","Hum Aapke Dil Mein Rehte Hain",False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Karisma Kapoor ‡","Biwi No.1",False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Shabana Azmi",Godmother,False
2000,2001,7,"Best Actress","ACTRESS IN A LEADING ROLE","Tabu ‡","Hu Tu Tu",False
2001,2002,8,"Best Actress","ACTRESS IN A LEADING ROLE","Tabu ‡",Astitva,False
2001,2002,8,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai ‡","Hamara Dil Aapke Paas Hai",False
2001,2002,8,"Best Actress","ACTRESS IN A LEADING ROLE","Karisma Kapoor †",Fiza,False
2001,2002,8,"Best Actress","ACTRESS IN A LEADING ROLE","Madhuri Dixit ‡",Pukar,False
2001,2002,8,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta ‡","Kya Kehna",False
2002,2003,9,"Best Actress","ACTRESS IN A LEADING ROLE","Kajol †","Kabhi Khushi Kabhie Gham",False
2002,2003,9,"Best Actress","ACTRESS IN A LEADING ROLE","Amisha Patel ‡","Gadar: Ek Prem Katha",False
2002,2003,9,"Best Actress","ACTRESS IN A LEADING ROLE","Karisma Kapoor ‡",Zubeidaa,False
2002,2003,9,"Best Actress","ACTRESS IN A LEADING ROLE","Tabu ‡","Chandni Bar",False
2002,2003,9,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar","Pyaar Tune Kya Kiya",False
2003,2004,10,"Best Actress","ACTRESS IN A LEADING ROLE","Aishwarya Rai †",Devdas,False
2003,2004,10,"Best Actress","ACTRESS IN A LEADING ROLE","Karisma Kapoor ‡","Shakti – The Power",False
2003,2004,10,"Best Actress","ACTRESS IN A LEADING ROLE","Preity Zinta","Dil Hai Tumhaara",False
2003,2004,10,"Best Actress","ACTRESS IN A LEADING ROLE","Rani Mukerji ‡",Saathiya,False
2003,2004,10,"Best Actress","ACTRESS IN A LEADING ROLE",Tabu,Filhaal...,False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Urmila Matondkar ‡",Bhoot,False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Bhoomika Chawla ‡","Tere Naam",False
2004,2005,11,"Best Actress","ACTRESS IN A LEADING ROLE","Hema Malini ‡",Baghban,False
