Year,Category,Winner,Film
2006,Best Playback Singer Male,,Aashiq Banaya Apne †
2006,Best Playback Singer Male,,Zeher ‡
2006,Best Playback Singer Male,,Kalyug
2006,Best Playback Singer Male,,Dus
2006,Best Playback Singer Male,,Parineeta
2007,Best Playback Singer Male,,Fanaa †
2007,Best Playback Singer Male,,Rang De Basanti
2007,Best Playback Singer Male,,Gangster
2007,Best Playback Singer Male,,Kabhi Alvida Naa Kehna
2007,Best Playback Singer Male,,Gangster ‡
2008,Best Playback Singer Male,,Saawariya †
2008,Best Playback Singer Male,,Bhool Bhulaiyaa
2008,Best Playback Singer Male,,Om Shanti Om ‡
2008,Best Playback Singer Male,,Chak De! India ‡
2008,Best Playback Singer Male,,Partner
2009,Best Playback Singer Male,,Jodhaa Akbar
2009,Best Playback Singer Male,,Race
2009,Best Playback Singer Male,,Rock On!! ‡
2009,Best Playback Singer Male,,Bachna Ae Haseeno ‡
2009,Best Playback Singer Male,,Rab Ne Bana Di Jodi †
2010,Best Playback Singer Male,,3 Idiots
2010,Best Playback Singer Male,,Ajab Prem Ki Ghazab Kahani ‡
2010,Best Playback Singer Male,,Delhi-6 †
2010,Best Playback Singer Male,,Love Aaj Kal ‡
2010,Best Playback Singer Male,,Kaminey ‡
2011,Best Playback Singer Male,,Dabangg
2011,Best Playback Singer Male,,Once Upon A Time In Mumbaai ‡
2011,Best Playback Singer Male,,Ishqiya †
2011,Best Playback Singer Male,,I Hate Luv Storys ‡
2011,Best Playback Singer Male,,Karthik Calling Karthik
2011,Best Playback Singer Male,,Break Ke Baad
2012,Best Playback Singer Male,,Rockstar
2012,Best Playback Singer Male,,Bodyguard
2012,Best Playback Singer Male,,Desi Boyz
2012,Best Playback Singer Male,,The Dirty Picture
2012,Best Playback Singer Male,,Bodyguard ‡
2013,Best Playback Singer Male,,Agneepath
2013,Best Playback Singer Male,,Vicky Donor †
2013,Best Playback Singer Male,,Agent Vinod
2013,Best Playback Singer Male,,Barfi!
2014,Best Playback Singer Male,,Aashiqui 2 †
2014,Best Playback Singer Male,,Aashiqui 2 ‡
2014,Best Playback Singer Male,,Bhaag Milkha Bhaag ‡
2015,Best Playback Singer Male,,Ek Villain †
2015,Best Playback Singer Male,,CityLights
2015,Best Playback Singer Male,,Kick
2015,Best Playback Singer Male,,Haider
2016,Best Playback Singer Male,,Dum Laga Ke Haisha ‡
2016,Best Playback Singer Male,,Hamari Adhuri Kahani
2016,Best Playback Singer Male,,Roy †
2017,Best Playback Singer Male,,Ae Dil Hai Mushkil ‡
2017,Best Playback Singer Male,,M.S. Dhoni: The Untold Story
2017,Best Playback Singer Male,,Udta Punjab
2018,Best Playback Singer Male,,Jab Harry Met Sejal
2019,Best Playback Singer Male,,Raazi †
2019,Best Playback Singer Male,,Zero ‡
2019,Best Playback Singer Male,,Andhadhun
2019,Best Playback Singer Male,,Sonu Ke Titu Ki Sweety ‡
