year_film,year_ceremony,ceremony,category,canon_category,name,film,winner
2025,2026,28,"Best Film","BEST PICTURE","Maddock Films",Munjya,False
2025,2026,28,"Best Film","BEST PICTURE","Maddock Films, Jio Studios","Teri Baaton Mein Aisa Uljha Jiya",False
2025,2026,28,"Best Film","BEST PICTURE","B62 Studios, Jio Studios","Article 370",False
2025,2026,28,"Best Film","BEST PICTURE","Aamir Khan Productions, Kindling Pictures","Laapataa Ladies",False
2026,2027,29,"Best Film","BEST PICTURE","Maddock Films",Chhaava‡,False
2026,2027,29,"Best Film","BEST PICTURE","Yash Raj Films",Saiyaara,False
2026,2027,29,"Best Film","BEST PICTURE","B62 Studios Jio Studios",Dhurandhar,False
2026,2027,29,"Best Film","BEST PICTURE","Aamir Khan Productions","Sitaare Zameen Par",False
2026,2027,29,"Best Film","BEST PICTURE","Kangra Talkies","Jolly LLB 3",False
2026,2027,29,"Best Film","BEST PICTURE","Mythri Movie Makers Zee Studios People Media Factory",Jaat,False
1998,1999,1,"Best Director",DIRECTING,"J.P. Dutta",Border,False
1999,2000,2,"Best Director",DIRECTING,"Karan Johar","Kuch Kuch Hota Hai",False
2000,2001,3,"Best Director",DIRECTING,"Sanjay Leela Bhansali","Hum Dil De Chuke Sanam",False
2001,2002,4,"Best Director",DIRECTING,"Rakesh Roshan","Kaho Naa... Pyaar Hai",False
2002,2003,5,"Best Director",DIRECTING,"Ashutosh Gowariker",Lagaan,False
2003,2004,6,"Best Director",DIRECTING,"Sanjay Leela Bhansali",Devdas,False
2004,2005,7,"Best Director",DIRECTING,"Rakesh Roshan","Koi... Mil Gaya",False
2005,2006,8,"Best Director",DIRECTING,"Yash Chopra",Veer-Zaara,False
2006,2007,9,"Best Director",DIRECTING,"Sanjay Leela Bhansali",Black,False
2007,2008,10,"Best Director",DIRECTING,"Rakeysh Omprakash Mehra","Rang De Basanti",False
2008,2009,11,"Best Director",DIRECTING,"Aamir Khan","Taare Zameen Par (Like Stars on Earth)",False
2011,2012,14,"Best Director",DIRECTING,"Karan Johar","My Name is Khan",False
2012,2013,15,"Best Director",DIRECTING,"Imtiaz Ali",Rockstar,False
2013,2014,16,"Best Director",DIRECTING,"Anurag Basu",Barfi!,False
2014,2015,17,"Best Director",DIRECTING,"Ayan Mukerji","Yeh Jawaani Hai Deewani",False
2016,2017,19,"Best Director",DIRECTING,"Sanjay Leela Bhansali","Bajirao Mastani",False
2017,2018,20,"Best Director",DIRECTING,"Ram Madhvani",Neerja,False
2018,2019,21,"Best Director",DIRECTING,"Ashwiny Iyer Tiwari","Bareilly Ki Barfi",False
2019,2020,22,"Best Director",DIRECTING,"Sanjay Leela Bhansali",Padmaavat,False
2020,2021,23,"Best Director",DIRECTING,"Zoya Akhtar","Gully Boy",False
2023,2024,26,"Best Director",DIRECTING,"Ayan Mukerji","Brahmāstra: Part One – Shiva",False
2024,2025,27,"Best Director",DIRECTING,Atlee,Jawan,False
2025,2026,28,"Best Director",DIRECTING,"Amar Kaushik","Stree 2",False
2025,2026,28,"Best Director",DIRECTING,"Kiran Rao","Laapataa Ladies",False
2026,2027,29,"Best Director",DIRECTING,"Mohit Suri",Saiyaara,False
1998,1999,1,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †","Dil To Pagal Hai",False
1998,1999,1,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan",Ishq,False
1998,1999,1,"Best Actor Male","ACTOR IN A LEADING ROLE","Kamal Haasan ‡","Chachi 420",False
1998,1999,1,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Pardes,False
1998,1999,1,"Best Actor Male","ACTOR IN A LEADING ROLE","Sunny Deol ‡",Border,False
1999,2000,2,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †","Kuch Kuch Hota Hai",False
1999,2000,2,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan ‡",Ghulam,False
1999,2000,2,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan","Jab Pyaar Kisise Hota Hai",False
1999,2000,2,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡","Pyaar Kiya To Darna Kya",False
1999,2000,2,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Duplicate,False
2000,2001,3,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan ‡",Sarfarosh,False
2000,2001,3,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan ‡","Hum Dil De Chuke Sanam",False
2000,2001,3,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan","Biwi No.1",False
2000,2001,3,"Best Actor Male","ACTOR IN A LEADING ROLE","Hum Saath Saath Hain",,False
2000,2001,3,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan",Baadshah,False
2001,2002,4,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan †","Kaho Naa... Pyaar Hai",False
2001,2002,4,"Best Actor Male","ACTOR IN A LEADING ROLE","Anil Kapoor ‡",Pukar,False
2001,2002,4,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan ‡",Fiza,False
2001,2002,4,"Best Actor Male","ACTOR IN A LEADING ROLE","Sanjay Dutt ‡","Mission Kashmir",False
2001,2002,4,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡",Mohabbatein,False
2002,2003,5,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan †",Lagaan,False
2002,2003,5,"Best Actor Male","ACTOR IN A LEADING ROLE","Aamir Khan ‡","Dil Chahta Hai",False
2002,2003,5,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan ‡",Aks,False
2002,2003,5,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan ‡","Kabhi Khushi Kabhie Gham",False
2002,2003,5,"Best Actor Male","ACTOR IN A LEADING ROLE","Sunny Deol ‡","Gadar: Ek Prem Katha",False
2003,2004,6,"Best Actor Male","ACTOR IN A LEADING ROLE","Shah Rukh Khan †",Devdas,False
2003,2004,6,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan ‡",Company,False
2003,2004,6,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan","The Legend of Bhagat Singh",False
2003,2004,6,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan",Aankhen,False
2003,2004,6,"Best Actor Male","ACTOR IN A LEADING ROLE","Vivek Oberoi ‡",Saathiya,False
2004,2005,7,"Best Actor Male","ACTOR IN A LEADING ROLE","Hrithik Roshan †","Koi... Mil Gaya",False
2004,2005,7,"Best Actor Male","ACTOR IN A LEADING ROLE","Ajay Devgan ‡",Gangaajal,False
2004,2005,7,"Best Actor Male","ACTOR IN A LEADING ROLE","Amitabh Bachchan ‡",Baghban,False
2004,2005,7,"Best Actor Male","ACTOR IN A LEADING ROLE","Salman Khan ‡","Tere Naam",False
