year,ceremony,category,nominee,film,country,winner,source_url
2008,BIFA 2008,Best Actress,Vera Farmiga,The Boy in the Striped Pyjamas,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2008,BIFA 2008,Best Actress,Eden Lake,Jenny,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2008,BIFA 2008,Best Actress,Happy-Go-Lucky,"Pauline ""Poppy"" Cross",,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2008,BIFA 2008,Best Actress,The Daisy Chain,Martha Conroy,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2008,BIFA 2008,Best Actress,The Duchess,Duchess Georgiana,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2008,BIFA 2008,Best British Independent Film,,Slumdog Millionaire,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2008,BIFA 2008,Best British Independent Film,,Steve McQueen,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2008,BIFA 2008,Best British Independent Film,,Martin McDonagh,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2008,BIFA 2008,Best British Independent Film,,James Marsh,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2008,BIFA 2008,Best British Independent Film,,Shane Meadows,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_British_Independent_Film
2008,BIFA 2008,Best Supporting Actor,Eddie Marsan,Happy-Go-Lucky,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2008,BIFA 2008,Best Supporting Actor,Harry Waters,Harry Waters,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2008,BIFA 2008,Best Supporting Actor,Hunger,Father Dominic Moran,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2008,BIFA 2008,Best Supporting Actor,Shifty,Chris,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2008,BIFA 2008,Best Supporting Actor,The Duchess,"William Cavendish, 5th Duke of Devonshire",,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actor
2008,BIFA 2008,Best Supporting Actress,Alexis Zegerman,Happy-Go-Lucky,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2008,BIFA 2008,Best Supporting Actress,Brideshead Revisited,Lady Marchmain,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2008,BIFA 2008,Best Supporting Actress,Easy Virtue,Veronica Whittaker,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2008,BIFA 2008,Best Supporting Actress,The Duchess,"Elizabeth ""Bess"" Foster",,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2008,BIFA 2008,Best Supporting Actress,The Edge of Love,Caitlin Thomas,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Supporting_Actress
2009,BIFA 2009,Best Actor,Tom Hardy,Bronson,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2009,BIFA 2009,Best Actor,In the Loop,Malcolm Tucker,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2009,BIFA 2009,Best Actor,Moon,Sam Bell,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2009,BIFA 2009,Best Actor,Nowhere Boy,John Lennon,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2009,BIFA 2009,Best Actor,Sex & Drugs & Rock & Roll,Ian Dury,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actor_in_a_British_Independent_Film
2009,BIFA 2009,Best Actress,Carey Mulligan,An Education,,1,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2009,BIFA 2009,Best Actress,Bright Star,Fanny Brawne,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
2009,BIFA 2009,Best Actress,Fish Tank,Mia Williams,,0,https://en.wikipedia.org/wiki/BIFA_Award_for_Best_Performance_by_an_Actress_in_a_British_Independent_Film
