year,ceremony,category,nominee,film,country,winner,source_url
1961,Venice Film Festival 1961,Volpi Cup for Best Actor,Toshiro Mifune,Yojimbo,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1961,Venice Film Festival 1961,Volpi Cup for Best Actress,Sophia Loren,Two Women,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1961,Venice Film Festival 1961,Volpi Cup for Best Actress,Suzanne Flon,Thou Shalt Not Kill,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1962,Venice Film Festival 1962,Golden Lion,,Family Diary,,1,https://en.wikipedia.org/wiki/Golden_Lion
1962,Venice Film Festival 1962,Golden Lion,,Ива́ново де́тство,,1,https://en.wikipedia.org/wiki/Golden_Lion
1962,Venice Film Festival 1962,Volpi Cup for Best Actor,Burt Lancaster,Birdman of Alcatraz,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1962,Venice Film Festival 1962,Volpi Cup for Best Actor,James Stewart,Mr. Hobbs Takes a Vacation,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1962,Venice Film Festival 1962,Volpi Cup for Best Actress,Emmanuelle Riva,Thérèse Desqueyroux,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1962,Venice Film Festival 1962,Volpi Cup for Best Actress,Katharine Hepburn,Long Day's Journey into Night,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1963,Venice Film Festival 1963,Golden Lion,,Hands over the City,,1,https://en.wikipedia.org/wiki/Golden_Lion
1963,Venice Film Festival 1963,Volpi Cup for Best Actor,Albert Finney,Tom Jones,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1963,Venice Film Festival 1963,Volpi Cup for Best Actress,Delphine Seyrig,Muriel,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1964,Venice Film Festival 1964,Golden Lion,,Red Desert,,1,https://en.wikipedia.org/wiki/Golden_Lion
1964,Venice Film Festival 1964,Volpi Cup for Best Actor,Tom Courtenay,King and Country,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1964,Venice Film Festival 1964,Volpi Cup for Best Actress,Harriet Andersson,To Love,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1965,Venice Film Festival 1965,Golden Lion,,Sandra,,1,https://en.wikipedia.org/wiki/Golden_Lion
1965,Venice Film Festival 1965,Volpi Cup for Best Actor,Toshiro Mifune,Red Beard,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1965,Venice Film Festival 1965,Volpi Cup for Best Actress,Annie Girardot,Three Rooms in Manhattan,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1966,Venice Film Festival 1966,Golden Lion,,The Battle of Algiers,,1,https://en.wikipedia.org/wiki/Golden_Lion
1966,Venice Film Festival 1966,Volpi Cup for Best Actor,Jacques Perrin,Almost a Man,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actor
1966,Venice Film Festival 1966,Volpi Cup for Best Actress,Natalya Arinbasarova,The First Teacher,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1966,Venice Film Festival 1966,Volpi Cup for Best Actress,Vanessa Redgrave,Morgan – A Suitable Case for Treatment,,1,https://en.wikipedia.org/wiki/Volpi_Cup_for_Best_Actress
1967,Venice Film Festival 1967,Golden Lion,,Belle de Jour,,1,https://en.wikipedia.org/wiki/Golden_Lion
