year,film,person,is_winner,raw_text,source_url
,V. I. P. Films,,True,Upkar | V. I. P. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,AVM Productions,,False,Mehrban | AVM Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prasad Studios,,False,Milan | Prasad Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sippy Films,,True,Brahmachari | Sippy Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sagar Art International,,False,Ankhen | Sagar Art International,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Kalpanalok,,False,Neel Kamal | Kalpanalok,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Shakti Films,,True,Aradhana | Shakti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rupam Chitra,,False,Aashirwad | Rupam Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prasad Studios,,False,Jeene Ki Raah | Prasad Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prasad Studios,,True,Khilona | Prasad Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Raj Khosla Films,,False,Do Raaste | Raj Khosla Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmnagar,,False,Pehchaan | Filmnagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rupam Chitra,,True,Anand | Rupam Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,False,Mera Naam Joker | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Pramod Films,,False,Naya Zamana | Pramod Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmnagar,,True,Be-Imaan | Filmnagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Aarohi Film Makers,,False,Anubhav | Aarohi Film Makers,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mahal Pictures,,False,Pakeezah | Mahal Pictures,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Shakti Films,,True,Anuraag | Shakti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Kiron Productions,,False,Aaj Ki Taaza Khabar | Kiron Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,False,Bobby | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Romu N. Sippy and Raj N. Sippy,,False,Koshish | Romu N. Sippy and Raj N. Sippy,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prakash Mehra Productions,,False,Zanjeer | Prakash Mehra Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Devki Chitra,,True,Rajnigandha | Devki Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Blaze Film Enterprises,,False,Ankur | Blaze Film Enterprises,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Unit 3 mm,,False,Garm Hava | Unit 3 mm,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Shreeji Films,,False,Kora Kagaz | Shreeji Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,V.I.P. Films,,False,Roti Kapda Aur Makaan | V.I.P. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Trimurti Films,,True,Deewaar | Trimurti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmyug,,False,Aandhi | Filmyug,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Shakti Films,,False,Amanush | Shakti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmnagar,,False,Sanyasi | Filmnagar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sippy Films,,False,Sholay | Sippy Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sunandini Pictures,,True,Mausam | Sunandini Pictures,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Chhoti Si Baat | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions,,False,Chitchor | Rajshri Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films,,False,Kabhi Kabhie | Yash Raj Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions,,False,Tapasya | Rajshri Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Blaze Film Enterprises,,True,Bhumika | Blaze Film Enterprises,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,MKD Films Combine,,False,Amar Akbar Anthony | MKD Films Combine,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Climb Films,,False,Gharaonda | Climb Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Gujarat Milk Co-Op Marketing Federation Ltd.,,False,Manthan | Gujarat Milk Co-Op Marketing Federation Ltd.,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Jayasarathy Combine,,False,Swami | Jayasarathy Combine,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Raj Khosla Films,,True,Main Tulsi Tere Aangan Ki | Raj Khosla Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions,,False,Ankhiyon Ke Jharokhon Se | Rajshri Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prakash Mehra Productions,,False,Muqaddar Ka Sikandar | Prakash Mehra Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Suresh Jindal,,False,Shatranj Ke Khilari | Suresh Jindal,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Trimurti Films,,False,Trishul | Trimurti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Film-Valas,,True,Junoon | Film-Valas,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sujatha International,,False,Amar Deep | Sujatha International,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films,,False,Kaala Patthar | Yash Raj Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,N. N. Sippy Productions,,False,Sargam | N. N. Sippy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rupam Chitra,,True,Khubsoorat | Rupam Chitra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Krsna Movies Enterprises,,False,Aakrosh | Krsna Movies Enterprises,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Filmyug,,False,Aasha | Filmyug,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Insaaf Ka Tarazu | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Konark Kombine International,,False,Thodisi Bewafaii | Konark Kombine International,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Film-Valas,,True,Kalyug | Film-Valas,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rose Movies,,False,Baseraa | Rose Movies,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Neo Films,,False,Chakra | Neo Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,PLA Productions,,False,Chashme Buddoor | PLA Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Prasad Studios,,False,Ek Duuje Ke Liye | Prasad Studios,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,M. R. Productions,,True,Shakti | M. R. Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,New Wave Production,,False,Bazaar | New Wave Production,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Nikaah | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,False,Prem Rog | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Trimurti Films,,False,Vidhaata | Trimurti Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Neo Films,,True,Ardh Satya | Neo Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Anu Arts,,False,Arth | Anu Arts,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Emkay Enterprises,,False,Avtaar | Emkay Enterprises,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vijayta Films – Dharmendra,,True,Betaab | Vijayta Films – Dharmendra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Krsna Movies Enterprises,,False,Masoom | Krsna Movies Enterprises,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Basu Bhattacharya,,True,Sparsh | Basu Bhattacharya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films,,False,Aaj Ki Awaaz | B. R. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,National Film Development Corporation of India,,False,Jaane Bhi Do Yaaro | National Film Development Corporation of India,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions,,False,Saaransh | Rajshri Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Chaudhary Enterprises, Prakash Mehra Productions",,False,"Sharaabi | Chaudhary Enterprises, Prakash Mehra Productions",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films,,True,Ram Teri Ganga Maili | R. K. Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Cineyugg Films,,False,Arjun | Cineyugg Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Nadiadwala Sons,,False,Ghulami | Nadiadwala Sons,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,N. N. Sippy Productions,,False,Meri Jung | N. N. Sippy Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sippy Films,,False,Saagar | Sippy Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Sunrise Productions,,False,Tawaif | Sunrise Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1987,No Award,,True,1987 | No Award,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1988,No Award,,True,1988 | No Award,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1988,1989,,True,1989 ( 34th ),https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1988,Nasir Hussain Films,,True,Qayamat Se Qayamat Tak | Nasir Hussain Films,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1988,Film Kraft,,False,Khoon Bhari Maang | Film Kraft,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
1988,N. Chandra Productions,,False,Tezaab | N. Chandra Productions,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Rajshri Productions – Tarachand Barjatya,,True,Maine Pyar Kiya | Rajshri Productions – Tarachand Barjatya,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films – Yash Chopra,,False,Chandni | Yash Raj Films – Yash Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vinod Chopra Productions – Vidhu Vinod Chopra,,False,Parinda | Vinod Chopra Productions – Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Mukta Arts – Ashok Ghai, Subhash Ghai",,False,"Ram Lakhan | Mukta Arts – Ashok Ghai, Subhash Ghai",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mirabai Films – Mira Nair,,False,Salaam Bombay! | Mirabai Films – Mira Nair,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vijayta Films – Dharmendra,,True,Ghayal | Vijayta Films – Dharmendra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Dharma Productions – Yash Johar,,False,Agneepath | Dharma Productions – Yash Johar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Maruti International – Indra Kumar , Ashok Thakeria",,False,"Dil | Maruti International – Indra Kumar , Ashok Thakeria",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Geetha Arts – Allu Aravind,,False,Pratibandh | Geetha Arts – Allu Aravind,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films – Yash Chopra,,True,Lamhe | Yash Raj Films – Yash Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Vishesh Films / T-Series – Mukesh Bhatt , Gulshan Kumar",,False,"Dil Hai Ki Manta Nahin | Vishesh Films / T-Series – Mukesh Bhatt , Gulshan Kumar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,R. K. Films – Randhir Kapoor,,False,Henna | R. K. Films – Randhir Kapoor,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Divya Films International – Sudhakar Bokade,,False,Saajan | Divya Films International – Sudhakar Bokade,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mukta Arts – Subhash Ghai,,False,Saudagar | Mukta Arts – Subhash Ghai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Nasir Hussain Films – Nasir Hussain,,True,Jo Jeeta Wohi Sikandar | Nasir Hussain Films – Nasir Hussain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Maruti International – Indra Kumar , Ashok Thakeria",,False,"Beta | Maruti International – Indra Kumar , Ashok Thakeria",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Glamour Films – Nazir Ahmed Khan , Manoj Desai",,False,"Khuda Gawah | Glamour Films – Nazir Ahmed Khan , Manoj Desai",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Tahir Hussain Enterprises – Tahir Hussain,,True,Hum Hain Rahi Pyar Ke | Tahir Hussain Enterprises – Tahir Hussain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Chiragdeep International – Pahlaj Nihalani,,False,Aankhen | Chiragdeep International – Pahlaj Nihalani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,United Seven Combines – Ganesh Jain,,False,Baazigar | United Seven Combines – Ganesh Jain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Cineyug Entertainment – Aly Morani , Karim Morani , Bunty Soorma",,False,"Damini | Cineyug Entertainment – Aly Morani , Karim Morani , Bunty Soorma",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mukta Arts – Subhash Ghai,,False,Khalnayak | Mukta Arts – Subhash Ghai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Rajshri Productions – Ajit Kumar Barjatya, Kamal Kumar Barjatya, Rajkumar Barjatya",,True,"Hum Aapke Hain Koun..! | Rajshri Productions – Ajit Kumar Barjatya, Kamal Kumar Barjatya, Rajkumar Barjatya",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vinod Chopra Productions – Vidhu Vinod Chopra,,False,1942: A Love Story | Vinod Chopra Productions – Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vinay Pictures – Vinay Kumar Sinha,,False,Andaz Apna Apna | Vinay Pictures – Vinay Kumar Sinha,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mehul Movies – Mehul Kumar,,False,Krantiveer | Mehul Movies – Mehul Kumar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Trimurti Films – Gulshan Rai,,False,Mohra | Trimurti Films – Gulshan Rai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films – Yash Chopra,,True,Dilwale Dulhania Le Jayenge | Yash Raj Films – Yash Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,United Seven Combines – Ratan Jain,,False,Akele Hum Akele Tum | United Seven Combines – Ratan Jain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Film Kraft – Rakesh Roshan,,False,Karan Arjun | Film Kraft – Rakesh Roshan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Maruti International – Indra Kumar , Ashok Thakeria",,False,"Raja | Maruti International – Indra Kumar , Ashok Thakeria",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Varma Corporation – Ram Gopal Varma,,False,Rangeela | Varma Corporation – Ram Gopal Varma,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Cineyug Entertainment – Aly Morani , Karim Morani , Bunty Soorma",,True,"Raja Hindustani | Cineyug Entertainment – Aly Morani , Karim Morani , Bunty Soorma",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Neha Films – Binda Thackeray,,False,Agni Sakshi | Neha Films – Binda Thackeray,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Kaleidoscope Entertainment – Bobby Bedi,,False,Bandit Queen | Kaleidoscope Entertainment – Bobby Bedi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Polygram Filmed Entertainment – Sibte Hassan Rizvi,,False,Khamoshi: The Musical | Polygram Filmed Entertainment – Sibte Hassan Rizvi,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Pan Pictures – R. V. Pandit,,False,Maachis | Pan Pictures – R. V. Pandit,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films – Yash Chopra,,True,Dil To Pagal Hai | Yash Raj Films – Yash Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,J. P. Films – J. P. Dutta,,False,Border | J. P. Films – J. P. Dutta,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Trimurti Films – Gulshan Rai,,False,Gupt | Trimurti Films – Gulshan Rai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mukta Arts – Subhash Ghai,,False,Pardes | Mukta Arts – Subhash Ghai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"M. R. Productions – Mushir Alam , Mohammad Riaz",,False,"Virasat | M. R. Productions – Mushir Alam , Mohammad Riaz",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Dharma Productions – Yash Johar,,True,Kuch Kuch Hota Hai | Dharma Productions – Yash Johar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vishesh Films – Mukesh Bhatt,,False,Ghulam | Vishesh Films – Mukesh Bhatt,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,G. S. Entertainment – Sohail Khan,,False,Pyaar Kiya To Darna Kya | G. S. Entertainment – Sohail Khan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Baba Films – Gordhan Tanwani,,False,Pyaar To Hona Hi Tha | Baba Films – Gordhan Tanwani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Varma Corporation – Ram Gopal Varma,,False,Satya | Varma Corporation – Ram Gopal Varma,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Bhansali Films – Sanjay Leela Bhansali,,True,Hum Dil De Chuke Sanam | Bhansali Films – Sanjay Leela Bhansali,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Puja Films – Vashu Bhagnani,,False,Biwi No.1 | Puja Films – Vashu Bhagnani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Cinematt Pictures – John Matthew Matthan,,False,Sarfarosh | Cinematt Pictures – John Matthew Matthan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mukta Arts – Subhash Ghai,,False,Taal | Mukta Arts – Subhash Ghai,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Adishakti Films – Deepak Nikhalje,,False,Vaastav | Adishakti Films – Deepak Nikhalje,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Film Kraft – Rakesh Roshan,,True,Kaho Naa... Pyaar Hai | Film Kraft – Rakesh Roshan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,United Seven Combines – Ratan Jain,,False,Dhadkan | United Seven Combines – Ratan Jain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,United Seven Combines – Ganesh Jain,,False,Josh | United Seven Combines – Ganesh Jain,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vinod Chopra Productions – Vidhu Vinod Chopra,,False,Mission Kashmir | Vinod Chopra Productions – Vidhu Vinod Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Yash Raj Films – Yash Chopra,,False,Mohabbatein | Yash Raj Films – Yash Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Aamir Khan Productions – Aamir Khan,,True,Lagaan | Aamir Khan Productions – Aamir Khan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Dreamz Unlimited – Shahrukh Khan , Juhi Chawla",,False,"Asoka | Dreamz Unlimited – Shahrukh Khan , Juhi Chawla",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Excel Entertainment Pvt. Ltd. – Ritesh Sidhwani,,False,Dil Chahta Hai | Excel Entertainment Pvt. Ltd. – Ritesh Sidhwani,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Zee Telefilms – Nitin Keni,,False,Gadar: Ek Prem Katha | Zee Telefilms – Nitin Keni,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Dharma Productions – Yash Johar,,False,Kabhi Khushi Kabhie Gham | Dharma Productions – Yash Johar,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Mega Bollywood – Bharat Shah,,True,Devdas | Mega Bollywood – Bharat Shah,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Varma Corporation – Ram Gopal Varma,,False,Company | Varma Corporation – Ram Gopal Varma,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Venus Films – Ratan Jain, Ganesh Jain",,False,"Humraaz | Venus Films – Ratan Jain, Ganesh Jain",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"White Feather Films / Pritish Nandy Communications / Film Club – Sanjay Gupta , Lawrence Mortorff, Pritish Nandy , Raju Patel",,False,"Kaante | White Feather Films / Pritish Nandy Communications / Film Club – Sanjay Gupta , Lawrence Mortorff, Pritish Nandy , Raju Patel",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Vishesh Films – Mukesh Bhatt,,False,Raaz | Vishesh Films – Mukesh Bhatt,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,Film Kraft – Rakesh Roshan,,True,Koi... Mil Gaya | Film Kraft – Rakesh Roshan,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,B. R. Films – B. R. Chopra,,False,Baghban | B. R. Films – B. R. Chopra,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
,"Dharma Productions – Yash Johar , Karan Johar",,False,"Kal Ho Naa Ho | Dharma Productions – Yash Johar , Karan Johar",https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film
