year,film,person,is_winner,raw_text,source_url
2016,Pelli Choopulu,Tharun Bhascker Dhaassyam,False,"2016 | Pelli Choopulu | Tharun Bhascker Dhaassyam | Raj Kandukuri Yash Rangineni | Vivek Sagar | Vijay Deverakonda , Ritu Varma",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1992,Rajeswari Kalyanam,Kranthi Kumar,False,"1992 | Rajeswari Kalyanam | Kranthi Kumar | D. Kishore | M.M. Keeravani | ANR , Vanisree , Meena , Suresh , Jayachitra",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1991,Pelli Pustakam,Bapu,False,"1991 | Pelli Pustakam | Bapu | Mullapudi Venkata Ramana | K. V. Mahadevan | Rajendra Prasad , Divyavani, AVS",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1990,Seetharamaiah Gari Manavaralu,Kranthi Kumar,False,"1990 | Seetharamaiah Gari Manavaralu | Kranthi Kumar | Doraswamy Raju | M.M. Keeravani | ANR , Meena",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1989,Mouna Poratam,Mohana Gandhi,False,"1989 | Mouna Poratam | Mohana Gandhi | Ramoji Rao | S. Janaki | Vinod Kumar, Yamuna",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1988,Adade Adharam,Visu,False,"1988 | Adade Adharam | Visu | Purna Chandra Rao | Shankar–Ganesh | Visu , Seetha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1987,Abhinandana,Ashok Kumar,False,"1987 | Abhinandana | Ashok Kumar | R. V. Ramana Murthy | Ilayaraja | Karthik , Shobana",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1986,Repati Pourulu,T. Krishna,False,"1986 | Repati Pourulu | T. Krishna | P. Venkateswara Rao | K. Chakravarthy | Vijayashanti , Anuradha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1985,O Thandri Theerpu,Raja Chandra,False,"1985 | O Thandri Theerpu | Raja Chandra | Kishore | K. Chakravarthy | Murali Mohan , Jayasudha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1984,Kanchana Ganga,V. Madhusudhana Rao,False,"1984 | Kanchana Ganga | V. Madhusudhana Rao | Ramoji Rao | K. Chakravarthy | Sarath Babu , Saritha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1983,Neti Bharatam,T. Krishna,False,"1983 | Neti Bharatam | T. Krishna | P. Venkateswara Rao | K. Chakravarthy | Vijayshanti , Suman",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1982,Maro Malupu,Vejella Styanarayana,False,"1982 | Maro Malupu | Vejella Styanarayana | Sagi Krishnam Raju | G. K. Venkatesh | Sai Chand , Narasimha Raju , Sivakrishna, Gummadi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1981,Tholi Kodi Koosindi,K. Balachander,False,"1981 | Tholi Kodi Koosindi | K. Balachander | Kanuri Ranjith Kumar | M. S. Viswanathan | Sarath Babu , Seema",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1980,Yuvatharam Kadilindi,Dhavala Satyam,False,"1980 | Yuvatharam Kadilindi | Dhavala Satyam | Madala Rangarao | T. Chalapathi Rao | M. Prabhakar Reddy , Madala Ranga Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1979,Maa Bhoomi,Goutam Ghosh,False,"1979 | Maa Bhoomi | Goutam Ghosh | G. Ravindranath B. Narsing Rao | Vinjamuri Seetha Devi | Sai Chand , Kakarala, Hamsa",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1978,Chali Cheemalu,Devadas Kanakala,False,"1978 | Chali Cheemalu | Devadas Kanakala | J. Venkatarya | - | Nutan Prasad , Sailaja",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1977,Tharam Marindi,Singeetham Srinivasa Rao,False,"1977 | Tharam Marindi | Singeetham Srinivasa Rao | G. Radha Krishnamurthy | G. K. Venkatesh | Sreedhar , Shubha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1976,Mahakavi Kshetrayya,C. S. Rao,False,"1976 | Mahakavi Kshetrayya | C. S. Rao | P. Adinarayana Rao | P. Adinarayana Rao | ANR , Anjali Devi , Manjula , Kanchana",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1975,Muthyala Muggu,Bapu,False,"1975 | Muthyala Muggu | Bapu | M. V. L. Narasimha Rao | K. V. Mahadevan Sajjad Hussain | Sreedhar , Sangeetha , Rao Gopala Rao",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1974,O Seeta Katha,K. Viswanath,False,"1974 | O Seeta Katha | K. Viswanath | A.R.S Sharma | K. V. Mahadevan | Chandra Mohan , Rojaramani , Shubha",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1973,Andala Ramudu,Bapu,False,"1973 | Andala Ramudu | Bapu | N. S. Murthy | K. V. Mahadevan | ANR , Latha , Raja Babu",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1972,Tata Manavadu,Dasari Narayana Rao,False,"1972 | Tata Manavadu | Dasari Narayana Rao | K. Raghava Ekambara Rao | S. P. Kodandapani | S. V. Ranga Rao , Anjali Devi , Raja Babu , Gummadi , allu Ramalingaiah",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1971,Sri Krishna Satya,K. V. Reddy,False,"1971 | Sri Krishna Satya | K. V. Reddy | Nandamuri Trivikrama Rao | Pendyala Nageswara Rao | NTR , J. Jayalalithaa",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1970,Kodalu Diddina Kapuram,Yoganand,False,"1970 | Kodalu Diddina Kapuram | Yoganand | Nandamuri Trivikrama Rao | T. V. Raju | NTR , Savitri , Vanisree",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1969,Athmeeyulu,V. Madhusudhana Rao,False,"1969 | Athmeeyulu | V. Madhusudhana Rao | D. Madhusudhana Rao / Sri Saradhi Studios | S. Rajeswara Rao | ANR , Vanisree , Chandra Mohan , Chandrakala , Vijaya Nirmala",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1968,Chinnari Papalu,Savitri,False,"1968 | Chinnari Papalu | Savitri | Matha Pictures | P. Leela | Jamuna , Jaggayya , Shavukaru Janaki",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1967,Chadarangam,S. V. Ranga Rao,False,"1967 | Chadarangam | S. V. Ranga Rao | Badeti Satyanarayana Putta Venkata Rao | T. V. Raju | S.V. Ranga Rao , Harinath , Jamuna , Anjali Devi",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1966,Chilaka Gorinka,Kotayya Pratyagatma,False,"1966 | Chilaka Gorinka | Kotayya Pratyagatma | Kotayya Pratyagatma | S. Rajeswara Rao | S.V. Ranga Rao , Anjali Devi , Krishnamraju , Krishna Kumari",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1965,Sri Krishna Pandaveeyam,N.T. Rama Rao,False,"1965 | Sri Krishna Pandaveeyam | N.T. Rama Rao | N. Trivikrama Rao | T. V. Raju | NTR , K. R. Vijaya , Satyanarayana , Rajanala , Mukkamala",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
1964,Keelu Bommalu,C. S. Rao,False,"1964 | Keelu Bommalu | C. S. Rao | P. Gangadhara Rao | S. P. Kodandapani | Vasanthi , Jaggayya",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
2016,Manalo Okadu,R. P. Patnaik,False,"2016 | Manalo Okadu | R. P. Patnaik | G. C. Jaganmohan | R. P. Patnaik | R. P. Patnaik , Anita Hassanandani Reddy",https://en.wikipedia.org/wiki/Nandi_Award_for_Best_Feature_Film
