award_show,year,ceremony_edition,category,nominee_name,work_title,role_or_character,result,language,source_url
Filmfare Awards South,2010,,Best Film,Brindavanam,"Dil Raju , Sirish and Laxman",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2010,,Best Film,Leader,"M. Saravanan , M. S. Guhan , Aruna Guhan and Aparna Guhan",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2010,,Best Film,Simha,Paruchuri Kireeti,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2010,,Best Film,Ye Maaya Chesave,Manjula Ghattamaneni and Sanjay Swaroop,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2011,,Best Film,Dookudu,"Ram Achanta, Gopichand Achanta and Anil Sunkara",,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2011,,Best Film,100% Love,Bunny Vas,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2011,,Best Film,Mr. Perfect,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2011,,Best Film,Rajanna,Nagarjuna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2011,,Best Film,Sri Rama Rajyam,Yalamanchali Saibabu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2012,,Best Film,Eega,Sai Korrapati,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2012,,Best Film,Businessman,R. R. Venkat,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2012,,Best Film,Gabbar Singh,Bandla Ganesh,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2012,,Best Film,Julayi,S. Radha Krishna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2012,,Best Film,Racha,"R. B. Choudary , N. V. Prasad and Paras Jain",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2013,,Best Film,Attarintiki Daredi,B. V. S. N. Prasad,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2013,,Best Film,Gunde Jaari Gallanthayyinde,N. Nikitha Reddy and Vikram Goud,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2013,,Best Film,Mirchi,V. Vamsi Krishna Reddy and Pramod Uppalapati,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2013,,Best Film,Seethamma Vakitlo Sirimalle Chettu,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2013,,Best Film,Uyyala Jampala,Ram Mohan P. and Nagarjuna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2014,,Best Film,Manam,Nagarjuna,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2014,,Best Film,Drushyam,D. Suresh Babu and Rajkumar Sethupathi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2014,,Best Film,Karthikeya,Venkata Srinivas,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2014,,Best Film,Race Gurram,Nallamalupu Bujji and Venkateswara Rao,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2014,,Best Film,Run Raja Run,V. Vamsi Krishna Reddy and Pramod Uppalapati,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2015,,Best Film,Baahubali: The Beginning,Shobu Yarlagadda and Prasad Devineni,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2015,,Best Film,Bhale Bhale Magadivoy,"V. Vamsi Krishna Reddy, Pramod Uppalapati and Bunny Vas",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2015,,Best Film,Kanche,Yeduguru Rajeev Reddy and Saibabu Jagarlamudi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2015,,Best Film,Malli Malli Idi Rani Roju,K. A. Vallabha,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2015,,Best Film,Srimanthudu,"Naveen Yerneni, Yalamanchili Ravi Shankar and Cherukuri Mohan",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,Pelli Choopulu,Raj Kandukuri and Yash Rangineni,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,A Aa,S. Radha Krishna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,Dhruva,Allu Aravind and N. V. Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,Kshanam,Param V. Potluri and Kavin Anne,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,Nannaku Prematho,B. V. S. N. Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2016,,Best Film,Oopiri,Prasad V. Potluri and Kavin Anne,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Baahubali 2: The Conclusion,Shobu Yarlagadda and Prasad Devineni,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Arjun Reddy,Pranay Reddy Vanga,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Fidaa,Dil Raju and Sirish,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Gautamiputra Satakarni,Yeduguru Rajeev Reddy and Saibabu Jagarlamudi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Ghazi,"Anvesh Reddy, Dil Raju , Prasad V. Potluri , NM Pasha and Jagan Mohan Vancha",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2017,,Best Film,Sathamanam Bhavati,Dil Raju,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,Mahanati,Swapna Dutt and Priyanka Dutt,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,Bharat Ane Nenu,D. V. V. Danayya,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,C/o Kancharapalem,Praveena Paruchuri,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,Geetha Govindam,Bunny Vas,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,Rangasthalam,"Naveen Yerneni, Yalamanchili Ravi Shankar and Cherukuri Mohan",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2018,,Best Film,Sammohanam,Sivalenka Krishna Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Pushpa: The Rise,Naveen Yerneni and Yalamanchili Ravi Shankar,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Akhanda,Miryala Ravinder Reddy,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Ala Vaikunthapurramuloo,Allu Aravind and S. Radha Krishna,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Jathi Ratnalu,Nag Ashwin,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Love Story,Narayan Das K Narang and Puskur Ram Mohan Rao,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Palasa 1978,Dhyan Atluri,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2020–2021,,Best Film,Uppena,Naveen Yerneni and Yalamanchili Ravi Shankar,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,RRR,D. V. V. Danayya,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,Sita Ramam,C. Aswini Dutt,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,Major,"Mahesh Babu , Namrata Shirodkar , Anurag Reddy and Sharath Chandra",,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,Karthikeya 2,Abhishek Agarwal and T. G. Viswa Prasad,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,DJ Tillu,Suryadevara Naga Vamsi,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2022,,Best Film,Bimbisara,Kosaraju Harikrishna and Nandamuri Kalyan Ram,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Balagam,Hanshita Reddy and Harshith Reddy,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Baby,Sreenivasa Kumar Naidu,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Dasara,Sudhakar Cherukuri and Ramana Rao Rudrapati,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Hi Nanna,Nagendra Kasi and Vamshi Bommena,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Miss Shetty Mr Polishetty,V. Vamsi Krishna Reddy and Pramod Uppalapati,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Samajavaragamana,Razesh Danda,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2023,,Best Film,Salaar: Part 1 – Ceasefire,Vijay Kiragandur,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Film,Pushpa 2: The Rule,Naveen Yerneni and Yalamanchili Ravi Shankar,,Winner,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
Filmfare Awards South,2024,,Best Film,Kalki 2898 AD,C. Aswini Dutt,,Nominee,Telugu,https://en.wikipedia.org/wiki/Filmfare_Award_for_Best_Film_–_Telugu
