year,ceremony,category,nominee,film,winner,source_url
2013,1st Africa Magic Viewers' Choice Awards,Best Movie,The Mirror Boy,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (comedy),Skeem,Skeem,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (comedy),Open Fire 2,Open Fire 2,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (comedy),Phone Swap,Phone Swap,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (comedy),The Return of Jenifa,The Return of Jenifa,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (comedy),Wisdom of Thomas Collins,Wisdom of Thomas Collins,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (drama),Man on Ground,Man on Ground,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (drama),A Sting in a Tale,A Sting in a Tale,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (drama),Adams Apple,Adams Apple,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (drama),Otelo Burning,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Movie (drama),The Mirror Boy,The Mirror Boy,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Overall Movie Director,Obi Emelonye,The Mirror Boy,1,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Overall Movie Director,Akin Omotoso,Man on Ground,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Overall Movie Director,Sara Blecher,Otelo Burning,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Overall Movie Director,Shirley Frimpong-Manso,Perfect Picture,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
2013,1st Africa Magic Viewers' Choice Awards,Best Overall Movie Director,Tim Greene,Skeem,0,https://en.wikipedia.org/wiki/2013_Africa_Magic_Viewers%27_Choice_Awards
