year,ceremony,category,nominee,film,winner,source_url
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,2nd British Academy Film Awards,2nd British Academy Film Awards,0,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,21st Academy Awards,21st Academy Awards,0,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1948,6th Golden Globe Awards,Special Award – Best Juvenile Actor,1948 in film,1948 in film,0,https://en.wikipedia.org/wiki/6th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Highlights - Best Picture,← 6th,← 6th,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Highlights - Best Picture,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Highlights - Best Picture,8th →,8th →,0,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Picture,Come to the Stable directed by Henry Koster,Come to the Stable directed by Henry Koster,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Actor in a Leading Role,Richard Todd,The Hasty Heart,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Actress in a Leading Role,Deborah Kerr,"Edward, My Son",1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,David Brian,Intruder in the Dust,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Miriam Hopkins,The Heiress,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Director - Motion Picture,William Wyler,The Heiress,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Screenplay - Motion Picture,Rope of Sand,Walter Doniger,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,"Best Music, Original Score - Motion Picture",All the King's Men,George Duning,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Foreign Language Film,"The Fallen Idol, UK","The Fallen Idol, UK",1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Cinematography - Black and White,All the King's Men photographed by Burnett Guffey,All the King's Men photographed by Burnett Guffey,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Cinematography - Color,On The Town by Harold Rosson,On The Town by Harold Rosson,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,Best Cinematography - Color,Monsieur Vincent directed by Maurice Cloche,Monsieur Vincent directed by Maurice Cloche,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,New Star of the Year - Actor,Juano Hernandez in Intruder in the Dust,Juano Hernandez in Intruder in the Dust,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1949,7th Golden Globe Awards,New Star of the Year - Actress,Ruth Roman in Champion,Ruth Roman in Champion,1,https://en.wikipedia.org/wiki/7th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Highlights - Best Picture,← 7th,← 7th,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Highlights - Best Picture,Golden Globes,Golden Globes,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Highlights - Best Picture,9th →,9th →,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Picture,All About Eve,All About Eve,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Picture,Born Yesterday,Born Yesterday,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Picture,Cyrano de Bergerac,Cyrano de Bergerac,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Picture,Harvey,Harvey,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Motion Picture - Drama,Louis Calhern,The Magnificent Yankee,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Motion Picture - Drama,James Stewart,Harvey,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Motion Picture - Drama,Bette Davis,All About Eve,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Motion Picture - Drama,Judy Holliday,Born Yesterday,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Motion Picture - Comedy or Musical,Dan Dailey,When Willie Comes Marching Home,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Motion Picture - Comedy or Musical,Harold Lloyd,Mad Wednesday,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Motion Picture - Comedy or Musical,Spring Byington,Louisa,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Motion Picture - Comedy or Musical,Betty Hutton,Annie Get Your Gun,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,George Sanders,All About Eve,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actor in a Supporting Role in a Motion Picture,Erich von Stroheim,Sunset Boulevard,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Judy Holliday,Adam's Rib,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Performance by an Actress in a Supporting Role in a Motion Picture,Thelma Ritter,All About Eve,0,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
1950,8th Golden Globe Awards,Best Director - Motion Picture,George Cukor,Born Yesterday,1,https://en.wikipedia.org/wiki/8th_Golden_Globe_Awards
